"","ACC2SURV_ACCID","Quercheck","ANS2SURV_ID","ANS2SURV_DURATION","IMPACT","OCCURRENCE","X1PCT","Y1PCT","X2PCT","Y2PCT","PROZAHL","RPZ","GRAPHIO","GRAPHRPZ","QUES2SURV_ID","Q2SID_PREV","Q2SID_NEXT","QUES2SURV_QUESID","QUES_ID","QUES_TEXT","QUES_TYP","QUES2SURV_SURVID","SURV_NAME","QUES2SURV_SORT","QUES2SURV_METHOD","QUES2SURV_KBID","ANS2SURV_QUES2SURVID","ANS2SURV_ACC2SURVID","ANS2SURV_METHOD","MODIFIED","ACC2SURV_GROUPID","ACC2SURV_FIRSTSTEP_DATE","ACC2SURV_MAILFIRST","ACC2SURV_MAILSECOND","ACC2SURV_ROLE","ANS2SURV_ANSWERED","ANS2SURV_COMMENT","QUES_CAUSE","QUES_EFFECT","X1Pixel","X2Pixel","Y1Pixel","Y2Pixel","ClassicGrid","getlowx","gethighx","getlowy","gethighy","hitOcc","hitImp","QuestionGroup","uncertaintyIPixel","uncertaintyOPixel","uncertaintyAreaPixel","uncertaintyPerimeterPixel","uncertaintytotalPixel","middleX","middleY","middleIGRID","middleOGRID","middleGRID"
"6293",541,541,1600633,14,4,2,"83.25","79.75","87.75","82.25",32,8,-1,-1,1347,1345,1349,306,306,"negative Stellungnahme durch den L-RH oder sonstiger Behörden","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",51,"classic","RA2",1347,981,"classic","16.09.2022",2,"02.09.2022","","16.09.2022",2,1,"","keine Vorabklärung mit Behörden (z. B. L-RH, Sanitätsbewilligungsbehörde usw.)","	- keine Realisierungsgenehmigung <br>- zeitliche Verzögerung <br>- Mehrkosten <br>- Verlängerung Risiko HNO",333,351,71,81,"Grid24",5,5,2,1,FALSE,FALSE,NA,18,10,180,56,28,342,76,5,1,"Grid15"
"6295",541,541,1600721,24,3,2,"51","45.75","53.5","48.75",24,6,-1,-1,1349,1347,1351,307,307,"Verzögerungen in diversen Vergabeverfahren (Einsprüche) vor allem bei Schlüsselgewerken","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",52,"classic","RA3",1349,981,"classic","16.09.2022",2,"02.09.2022","","16.09.2022",2,1,"","	- unklare Ausschreibungsunterlagen <br>- Vorgaben im Bezug auf den Beschaffungsprozess /Ausschreibung und Vergaben werden nicht eingehalten <br>- Willkür der Einsprucherhebenden","	- zeitliche Verzögerungen <br>- Mehrkosten",204,214,205,217,"Grid23",3,3,3,3,FALSE,TRUE,NA,10,12,120,44,22,209,211,3,3,"Grid33"
"6297",541,541,1600809,14,3,2,"70.75","82.25","73.25","85",24,6,-1,-1,1351,1349,1399,308,308,"keine ausreichende Zugangsregelung der Nuklearmedizin zum Zeitpunkt des Abbruch des Nordtraktes von Gebäude 161 und entsprechende Information aller Beteiligten darüber","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",53,"classic","SI1",1351,981,"classic","16.09.2022",2,"02.09.2022","","16.09.2022",2,1,"","","",283,293,60,71,"Grid23",4,4,1,1,FALSE,FALSE,NA,10,11,110,42,21,288,65.5,4,1,"Grid14"
"6299",541,541,1600897,10,4,4,"81.25","10.5","83.5","12.75",64,16,-1,-1,1399,1351,1353,309,309,"Steigerung der Sicherheit von Patient:innen, Mitarbeiter:innen und Dritter","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",54,"classic","SI2",1399,981,"classic","16.09.2022",2,"02.09.2022","","16.09.2022",2,1,"","","",325,334,349,358,"Grid44",5,5,5,5,FALSE,FALSE,NA,9,9,81,36,18,329.5,353.5,5,5,"Grid55"
"6301",541,541,1600985,15,4,1,"71","79","74.25","81",16,4,-1,-1,1353,1399,1355,310,310,"keine ausreichende Baugrubenabsicherung zum angrenzenden Betrieb","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",55,"classic","SI3",1353,981,"classic","16.09.2022",2,"02.09.2022","","16.09.2022",2,1,"","","",284,297,76,84,"Grid14",4,4,2,1,FALSE,TRUE,NA,13,8,104,42,21,290.5,80,4,2,"Grid24"
"6303",541,541,1601073,14,3,2,"80.75","73.5","85.25","76",24,6,-1,-1,1355,1353,1357,311,311,"Ausfall kritischer Infrastruktur","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",56,"classic","SI4",1355,981,"classic","16.09.2022",2,"02.09.2022","","16.09.2022",2,1,"","Anschluss- und Baumaßnahmen (Kälte, Wärme, Abwasser, Wasser usw.)","Versorgungsauftrag kann nicht erfüllt werden",323,341,96,106,"Grid23",5,5,2,2,TRUE,FALSE,NA,18,10,180,56,28,332,101,5,2,"Grid25"
"6305",541,541,1601161,18,3,2,"77.75","76.25","80.5","80",24,6,-1,-1,1357,1355,1359,312,312,"Kollektorgang nicht nutzbar","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",57,"classic","SI5",1357,981,"classic","16.09.2022",2,"02.09.2022","","16.09.2022",2,1,"","Bautätigkeiten","Einschränkungen in der Versorgung ( Logistik)",311,322,80,95,"Grid23",4,5,2,2,TRUE,FALSE,NA,11,15,165,52,26,316.5,87.5,4,2,"Grid24"
"6307",541,541,1601249,12,4,2,"53.5","65.5","56.75","68",32,8,-1,-1,1359,1357,1361,313,313,"Beeinträchtigung des Zugangs/Zufahrt der Notaufnahme","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",58,"classic","SI6",1359,981,"classic","16.09.2022",2,"02.09.2022","","16.09.2022",2,1,"","Intensive Verschränkung des Baustellenverkehrs mit dem laufenden Betrieb im hochfrequentierten Bereich der Notfallaufnahme","Beeinflussung der (Rettungs-)Notfahrten",214,227,128,138,"Grid24",3,3,2,2,TRUE,FALSE,NA,13,10,130,46,23,220.5,133,3,2,"Grid23"
"6309",541,541,1601337,53,2,4,"52.25","56.5","55.5","59.5",32,8,-1,-1,1361,1359,1363,314,314,"Zeitgerechte Umsetzung/Überwachung vorhabensbezogener sicherheitstechnischer Vorgaben","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",59,"classic","SI7",1361,981,"classic","16.09.2022",2,"02.09.2022","","16.09.2022",2,1,"","","",209,222,162,174,"Grid42",3,3,3,3,FALSE,FALSE,NA,13,12,156,50,25,215.5,168,3,3,"Grid33"
"6311",541,541,1601425,11,3,2,"56.5","83","56.75","86",24,6,-1,-1,1363,1361,1365,315,315,"keine ausreichende Einbindung und Information der Sicherheitsbeauftragten über sicherheitsrelevante Faktoren","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",60,"classic","SI8",1363,981,"classic","16.09.2022",2,"02.09.2022","","16.09.2022",2,1,"","","",226,227,56,68,"Grid23",3,3,1,1,FALSE,TRUE,NA,1,12,12,26,13,226.5,62,3,1,"Grid13"
"6313",541,541,1601513,12,4,2,"77","45.75","80.5","48",32,8,-1,-1,1365,1363,1401,316,316,"Gefährdung des Abklingbeckens durch Bestandsabriss in Nähe","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",61,"classic","SI9",1365,981,"classic","16.09.2022",2,"02.09.2022","","16.09.2022",2,1,"","Baumaßnahmen","Gefährdung des Grundwassers",308,322,208,217,"Grid24",4,5,3,3,FALSE,TRUE,NA,14,9,126,46,23,315,212.5,4,3,"Grid34"
"6315",541,541,1601601,6,4,4,"77","8.5","83.75","11.5",64,16,-1,-1,1401,1365,1367,317,317,"Verbesserung der technischen Betriebssicherheit","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",62,"classic","TE1",1401,981,"classic","16.09.2022",2,"02.09.2022","","16.09.2022",2,1,"","","",308,335,354,366,"Grid44",4,5,5,5,FALSE,TRUE,NA,27,12,324,78,39,321.5,360,5,5,"Grid55"
"6317",541,541,1601689,16,4,2,"56","42.75","59","45.25",32,8,-1,-1,1367,1401,1403,318,318,"Beschädigung bzw. Beeinträchtigung der Betriebsbereitschaft sensibler medizintechnischer Geräte (z. B. SPECT Kameras, Szintillationskristalle) Bestand und Siedlungsgut","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",63,"classic","TE2",1367,981,"classic","16.09.2022",2,"02.09.2022","","16.09.2022",2,1,"","	- Abriss <br>- Erschütterungen <br>- Temperaturschwankungen <br>- Staubentwicklung","Gefährdung der Patient:innensicherheit",224,236,219,229,"Grid24",3,3,3,3,FALSE,FALSE,NA,12,10,120,44,22,230,224,3,3,"Grid33"
"6319",541,541,1601777,18,4,4,"72.5","10.5","77.75","13",64,16,-1,-1,1403,1367,1369,319,319,"Zusammenführung, Anbindung, Harmonisierung struktureller und technischer Standards und deren Auslegung (alt/neu) ==> Implementierung aktueller Haus- und Betriebstechnik","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",64,"classic","TE3",1403,981,"classic","16.09.2022",2,"02.09.2022","","16.09.2022",2,1,"","	- Umsetzung eines Neubaus","	- moderne, gleichwertige technische Infrastruktur <br>- Anlagenredundanz",290,311,348,358,"Grid44",4,4,5,5,FALSE,TRUE,NA,21,10,210,62,31,300.5,353,4,5,"Grid54"
"6321",541,541,1601865,11,5,4,"73.75","10.75","81.5","13.75",80,20,-1,-1,1369,1403,1371,322,322,"Fernwärme/Kälteversorgung für zukünftige Versorgung berücksichtigen (Neuverlegung, Trassenführung)","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",65,"classic","TE4",1369,981,"classic","16.09.2022",2,"02.09.2022","","16.09.2022",2,1,"","","",295,326,345,357,"Grid45",4,5,5,5,FALSE,TRUE,NA,31,12,372,86,43,310.5,351,4,5,"Grid54"
"6323",541,541,1601953,9,4,4,"66","31","68.75","39",64,16,-1,-1,1371,1369,1233,323,323,"Kollektorgänge für zukünftige Erweiterungen vorbereitet (Onkozentrum)","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",66,"classic","TE5",1371,981,"classic","16.09.2022",2,"02.09.2022","","16.09.2022",2,1,"","","",264,275,244,276,"Grid44",4,4,4,4,TRUE,TRUE,NA,11,32,352,86,43,269.5,260,4,4,"Grid44"
"6325",541,541,1602041,7,3,3,"67","60.75","70.75","63.25",36,9,-1,-1,1233,1371,1261,324,324,"keine absolute Staubfreiheit im Strahlenbereich für offene radioaktive Stoffe","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",67,"classic","TE6",1233,981,"classic","16.09.2022",2,"02.09.2022","","16.09.2022",2,1,"","","",268,283,147,157,"Grid33",4,4,2,2,FALSE,FALSE,NA,15,10,150,50,25,275.5,152,4,2,"Grid24"
"6327",541,541,1602129,7,4,3,"55.5","34.5","58","38.75",48,12,-1,-1,1261,1233,1263,340,340,"IT- und MT-Schnittstellenproblematiken zwischen den Einrichtungen werden nicht ausreichend berücksichtigt","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",68,"classic","TE7",1261,981,"classic","16.09.2022",2,"02.09.2022","","16.09.2022",2,1,"","","",222,232,245,262,"Grid34",3,3,4,4,FALSE,FALSE,NA,10,17,170,54,27,227,253.5,3,4,"Grid43"
"6329",541,541,1602217,12,5,3,"48.75","51.5","52","53.75",60,15,-1,-1,1263,1261,1265,341,341,"Hebeanlage CMZ-Abwasser befindet sich direkt am Baufeld","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",69,"classic","TE8",1263,981,"classic","16.09.2022",2,"02.09.2022","","16.09.2022",2,1,"","","keine Abwasserentsorgung vom CMZ möglich",195,208,185,194,"Grid35",3,3,3,3,TRUE,FALSE,NA,13,9,117,44,22,201.5,189.5,3,3,"Grid33"
"6331",541,541,1602305,16,4,3,"47","9.25","56.75","12.75",48,12,-1,-1,1265,1263,1267,342,342,"Statik der  zweiten  Med für Umbauten des Bestandes nicht geeignet","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",70,"classic","TE9",1265,981,"classic","16.09.2022",2,"02.09.2022","","16.09.2022",2,1,"","	- Zustand Altbestand","erhebliche Mehrkosten für Umbau und Abriss",188,227,349,363,"Grid34",3,3,5,5,FALSE,FALSE,NA,39,14,546,106,53,207.5,356,3,5,"Grid53"
"6333",541,541,1602393,12,4,3,"58.25","32.25","60.5","34.75",48,12,-1,-1,1267,1265,1373,343,343,"Lärm- und Staubbelästigung während der Bauphase der Patient:innen und Mitarbeiter:innen in den umliegenden Gebäude(-teile) ==> Nähe Notfallaufnahme ==> zentraler Verkehrsknotenpunkt","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",71,"classic","UÖ1",1267,981,"classic","16.09.2022",2,"02.09.2022","","16.09.2022",2,1,"","	- Unklare Definition der Anforderungen in den Ausschreibungsunterlagen <br>- Mangelhafte Kommunikation <br>- Mangelhafte Kontrollen <br>- Mangelndes Bewusstsein der Ausführenden <br>im Rahmen der Bautätigkeiten","	- Patient:innen und Mitarbeiter:innenunzufriedenheit <br>- Beeinträchtigung des laufenden Betriebs im Allgemeinen <br>- Höhere psychische Belastung der MA und Patient:innen <br> <br>",233,242,261,271,"Grid34",3,4,4,4,FALSE,TRUE,NA,9,10,90,38,19,237.5,266,3,4,"Grid43"
"6335",541,541,1602481,16,3,4,"50.75","15.75","53.25","21.25",48,12,-1,-1,1373,1267,1235,325,325,"Integration ressourcenschonender Energienutzungsmodelle in die Projektplanung (Alternativenergie, Passivhausstandard, Grundwasserkühlung/-energiespeicherung, Photovoltaik (z. B. in Fassade integrieren oder am Dach), Erdwärme, Sonnenschutz - starke Lamellen, Fassadenfarbe, Niedertemperatur Heiz-Kühlsystem (Baukernaktivierung,  usw.)","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",72,"classic","UÖ2",1373,981,"classic","16.09.2022",2,"02.09.2022","","16.09.2022",2,1,"","","	- erhöhter Baukosteneinsatz <br>- zusätzliche Beschattung",203,213,315,337,"Grid43",3,3,5,4,FALSE,TRUE,NA,10,22,220,64,32,208,326,3,5,"Grid53"
"6337",541,541,1602569,11,4,3,"48","27.5","55.25","30.5",48,12,-1,-1,1235,1373,1237,326,326,"Erschütterungen während der Bauphase","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",73,"classic","UÖ3",1235,981,"classic","16.09.2022",2,"02.09.2022","","16.09.2022",2,1,"","Nähe Baufeld","	- Patient:innen und Mitarbeiter:innen Unzufriedenheit <br>- Schädigung etwaiger hochsensibler medizinsicher Geräte (z. B. SPECT Kamera, PET/CT) <br>- Beeinträchtigung bei Operationen <br>- Schädigung angrenzender Gebäude(-teile) <br>- Reduzierte Sicherheit der Patienten:innen und Mitarbeiter:innen <br>- Beeinträchtigung des laufenden Betriebs im Allgemeinen <br>- höhere psychische Belastung der MA und Patient:innen",192,221,278,290,"Grid34",3,3,4,4,FALSE,FALSE,NA,29,12,348,82,41,206.5,284,3,4,"Grid43"
"6339",541,541,1602657,9,4,3,"53.5","43.75","57.5","46.5",48,12,-1,-1,1237,1235,1239,327,327,"unbekannte Einbauten im Boden","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",74,"classic","UÖ4",1237,981,"classic","16.09.2022",2,"02.09.2022","","16.09.2022",2,1,"","	- keine vorliegenden Unterlagen","	- Mehrkosten",214,230,214,225,"Grid34",3,3,3,3,TRUE,FALSE,NA,16,11,176,54,27,222,219.5,3,3,"Grid33"
"6341",541,541,1602745,14,4,3,"85.75","81","91.25","83.75",48,12,-1,-1,1239,1237,1241,328,328,"keine Kenntnis über das Ausmaß des kontaminierten Abbruchmaterials (Asbest, gefährliche Stoffe) und kontaminierte Einbauten im Baugrund","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",75,"classic","UÖ5",1239,981,"classic","16.09.2022",2,"02.09.2022","","16.09.2022",2,1,"","alte Baureste (Sondermüll) z. B. Abriss Schilddrüsenambulanz","	- Mehrkosten <br>- Baustelleneinschränkungen <br>- (erhöhte) Umweltauflagen werden nicht eingehalten",343,365,65,76,"Grid34",5,5,1,1,FALSE,FALSE,NA,22,11,242,66,33,354,70.5,5,1,"Grid15"
"6343",541,541,1602833,10,4,3,"68","46.75","73","57",48,12,-1,-1,1241,1239,1243,329,329,"Verunreinigung angrenzender Gebäude","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",76,"classic","UÖ6",1241,981,"classic","16.09.2022",2,"02.09.2022","","16.09.2022",2,1,"","Abklingbecken der Nuklearmedizin","	- Mehrkosten <br>- Projektverzögerungen <br>- Image <br>- Verunreinigung des Grundwassers",272,292,172,213,"Grid34",4,4,3,3,TRUE,TRUE,NA,20,41,820,122,61,282,192.5,4,3,"Grid34"
"6345",541,541,1602921,8,5,3,"66.5","63.75","83.5","66.5",60,15,-1,-1,1243,1241,1245,330,330,"Verunreinigung des Grundwasser","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",77,"classic","UÖ7",1243,981,"classic","16.09.2022",2,"02.09.2022","","16.09.2022",2,1,"","	- bauliche Tätigkeiten","Verlust des Trinkwasser",266,334,134,145,"Grid35",4,5,2,2,FALSE,TRUE,NA,68,11,748,158,79,300,139.5,4,2,"Grid24"
"6347",541,541,1603009,13,5,3,"67.5","77","82.75","82",60,15,-1,-1,1245,1243,1375,331,331,"unkontrollierter Wassereintritt","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",78,"classic","UÖ8",1245,981,"classic","16.09.2022",2,"02.09.2022","","16.09.2022",2,1,"","	- Hochwasserschutz wurde nicht ausreichend berücksichtigt <br>- mangelnde Abdeckarbeiten im Zuge der Bautätigkeiten","	- Personenschaden <br>- Sachschaden  <br>- Bauverzögerung <br>- Sach- bzw. Personenschaden",270,331,72,92,"Grid35",4,5,2,1,FALSE,TRUE,NA,61,20,1220,162,81,300.5,82,4,2,"Grid24"
"6349",541,541,1603097,8,5,4,"81.25","11.5","84.25","15",80,20,-1,-1,1375,1245,1247,332,332,"Förderungen lukrieren","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",79,"classic","UÖ9",1375,981,"classic","16.09.2022",2,"02.09.2022","","16.09.2022",2,1,"","","Budgetschonung",325,337,340,354,"Grid45",5,5,5,5,FALSE,TRUE,NA,12,14,168,52,26,331,347,5,5,"Grid55"
"6351",541,541,1603185,13,4,3,"61.75","84","65.5","87",48,12,-1,-1,1247,1375,1249,333,333,"Beschaffenheit des Baugrunds nicht ausreichend bekannt","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",80,"classic","UV1",1247,981,"classic","16.09.2022",2,"02.09.2022","","16.09.2022",2,1,"","	- Materialaufbau <br>- Grundwasser <br>- Bestandseinbauten <br>- Kriegsdelikte","	- Mehrkosten <br>- zeitliche Verzögerung <br>- Gefährdung von Personen und Strukturen",247,262,52,64,"Grid34",4,4,1,1,FALSE,TRUE,NA,15,12,180,54,27,254.5,58,4,1,"Grid14"
"6353",541,541,1603273,11,4,3,"72.5","79.5","74.5","83.25",48,12,-1,-1,1249,1247,1251,334,334,"Altbestand nicht ausreichend bekannt","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",81,"classic","UV2",1249,981,"classic","16.09.2022",2,"02.09.2022","","16.09.2022",2,1,"","	- Gebäude am Baufeld tlw. in Betrieb <br>- Bestandsunterlagen zur Statik liegen nicht vor","	- Mehrkosten <br>- zeitliche Verzögerung Umsetzungsprojekt <br>- Gefährdung von Personen und Strukturen",290,298,67,82,"Grid34",4,4,2,1,FALSE,TRUE,NA,8,15,120,46,23,294,74.5,4,1,"Grid14"
"6355",541,541,1603361,21,3,4,"53.75","41.25","60.25","80.5",48,12,-1,-1,1251,1249,1253,335,335,"nicht einschätzbare Beschaffungsmarkt-  und -angebotspreisentwicklung,","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",82,"classic","UV3",1251,981,"classic","16.09.2022",2,"02.09.2022","","16.09.2022",2,1,"","	- geopolitische Entwicklung/Ereignisse <br>- pandemische Entwicklung und Folgen (SiGe-Plan)","	- Mehrkosten <br>- Projektlaufzeit Umsetzungsprojekt durch fehlende Finanzierung nicht einhaltbar",215,241,78,235,"Grid43",3,4,3,1,FALSE,TRUE,NA,26,157,4082,366,183,228,156.5,3,2,"Grid23"
"6357",541,541,1603449,19,3,3,"54.5","39.25","56.75","44.75",36,9,-1,-1,1253,1251,1255,336,336,"nicht einschätzbare Verzögerungen, Unterbrechungen und Ausfälle von Lieferketten und Leistungen","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",83,"classic","UV4",1253,981,"classic","16.09.2022",2,"02.09.2022","","16.09.2022",2,1,"","	- geopolitische Entwicklung/Ereignisse <br>- pandemische Entwicklung und Folgen (SiGe-Plan)","	- Mehrkosten <br>- Projektlaufzeit Umsetzungsprojekt",218,227,221,243,"Grid33",3,3,4,3,FALSE,TRUE,NA,9,22,198,62,31,222.5,232,3,3,"Grid33"
"6359",541,541,1603537,6,3,3,"51.25","43.5","55.25","47",36,9,-1,-1,1255,1253,1257,337,337,"Konkurs von Auftragsnehmern","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",84,"classic","UV5",1255,981,"classic","16.09.2022",2,"02.09.2022","","16.09.2022",2,1,"","","Bau- und Projektverzug",205,221,212,226,"Grid33",3,3,3,3,TRUE,TRUE,NA,16,14,224,60,30,213,219,3,3,"Grid33"
"6361",541,541,1603625,13,3,4,"58.5","40.25","64.5","46",48,12,-1,-1,1257,1255,1259,338,338,"fehlende Bieter im Vergabeverfahren (z. B. Planer und ausführende Gewerke)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",85,"classic","UV6",1257,981,"classic","16.09.2022",2,"02.09.2022","","16.09.2022",2,1,"","Marktsituation","Bau- und Projektverzug",234,258,216,239,"Grid43",3,4,4,3,FALSE,TRUE,NA,24,23,552,94,47,246,227.5,4,3,"Grid34"
"6363",541,541,1603713,21,3,3,"77.25","81","79.75","83.5",36,9,-1,-1,1259,1257,0,339,339,"Änderung/Reduktion der/des medizinischen Leistungsplanung/-spektrums/-angebotsplanung","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",86,"classic","UV7",1259,981,"classic","16.09.2022",2,"02.09.2022","","16.09.2022",2,1,"","	- keine umfassende Berücksichtigung des gesundheitspolitischen Bedarfs sowie der Nutzeranforderungen <br>- Reduktion der räumlichen Strukturen <br>- Neudefinition von Prozessen aufgrund eines veränderten diagnostischen Ablaufs <br>- betriebsorganisatorische und personalstrukturelle Veränderungen","	- keine Deckung der Nachfrage <br>- keine Erfüllung des Versorgungsauftrags",309,319,66,76,"Grid33",4,5,1,1,FALSE,FALSE,NA,10,10,100,40,20,314,71,4,1,"Grid14"
"6365",442,442,1975321,46,5,4,"67.25","69","95.75","76.5",80,20,-1,-1,1269,0,1271,344,344,"keine umfangreiche Information aller Betroffenen und Beteiligten (z. B. zur weiteren (Unternehmens- und Abteilungs-)Strategie bzgl. Fortbestand der Therapiestation und des Zyklotron, sowie den Funktionsräumen von Gebäude 161 (SPECT/PET); Schilddrüsenspezialambulanz)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",1,"classic","BB1",1269,843,"classic","05.10.2022",2,"13.09.2022","25.08.2022","27.09.2022",2,1,"","	- keine umfassende, zeitgerechte Einbindung und Kommunikation und Information durch in der Projektorganisation und das KD <br>- keine ausreichenden Ressourcenverfügbarkeit für Projekttermine usw. <br>- Masterplan nicht kommuniziert","	- Projektänderungswünsche <br>- Projektverzögerungen <br>- Nutzerunzufriedenheit <br>- keine Identifikation mit dem Projekt <br>- Skepsis, Ängste bzw. keine Zustimmung der Beteiligten und Betroffenen",269,383,94,124,"Grid45",4,5,2,2,FALSE,TRUE,NA,114,30,3420,288,144,326,109,5,2,"Grid25"
"6367",442,442,1975411,28,3,5,"48.75","23.25","60","34.25",60,15,-1,-1,1271,1269,1377,345,345,"Projektanforderungen ändern sich","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",2,"classic","BB2",1271,843,"classic","05.10.2022",2,"13.09.2022","25.08.2022","27.09.2022",2,1,"","	- Wechsel der Nutzervertreter BO (z. B. durch Pensionierungen)  <br>- lange Projektlaufzeit","	- Kostensteigerungen <br>- zeitliche Verzögerungen <br>- Veränderung des technischen Standards zwischen Planung und Inbetriebnahme",195,240,263,307,"Grid53",3,4,4,4,FALSE,TRUE,NA,45,44,1980,178,89,217.5,285,3,4,"Grid43"
"6369",442,442,1975501,26,5,4,"85.5","44","97.75","51.75",80,20,-1,-1,1377,1271,1273,346,346,"Nutzung der Erfahrung der Beteiligten aus den Fachbereichen, Fachbereichsmitarbeiter:innen zu Beteiligten machen und einbeziehen","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",3,"classic","BB3",1377,843,"classic","05.10.2022",2,"13.09.2022","25.08.2022","27.09.2022",2,1,"","","Frühzeitige Erhebung und Berücksichtigung von Schnittstellenproblemen und -defiziten",342,391,193,224,"Grid45",5,5,3,3,FALSE,TRUE,NA,49,31,1519,160,80,366.5,208.5,5,3,"Grid35"
"6371",442,442,1975591,289,3,4,"51.5","23.5","70.25","50.75",48,12,-1,-1,1273,1377,1275,347,347,"keine ausreichende Ressourcenverfügbarkeit bei den Betroffenen und Beteiligten (z. B. für Projektsitzungen im Rahmen der Planung, Umsetzung und Übersiedelung)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",4,"classic","BB4",1273,843,"classic","05.10.2022",2,"13.09.2022","25.08.2022","27.09.2022",2,1,"","im Rahmen der Projektplanung werden Dienstpläne, Urlaubszeiten oder Zeiten intensiver zusätzlicher Tätigkeiten (z. B. Jahresabschluss) nicht berücksichtigt <br>(Fachbereiche, Hygiene)","	- Projektverzögerung <br>- verzögerte Inbetriebnahme",206,281,197,306,"Grid43",3,4,4,3,FALSE,TRUE,NA,75,109,8175,368,184,243.5,251.5,4,4,"Grid44"
"6373",442,442,1975681,18,4,4,"80.75","63","99.5","88.25",64,16,-1,-1,1275,1273,1277,348,348,"Abhängigkeiten der Projektumsetzung von Einzelpersonen","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",5,"classic","BB5",1275,843,"classic","05.10.2022",2,"13.09.2022","25.08.2022","27.09.2022",2,1,"","","",323,398,47,148,"Grid44",5,5,2,1,FALSE,FALSE,NA,75,101,7575,352,176,360.5,97.5,5,2,"Grid25"
"6375",442,442,1975771,58,3,4,"86.5","36.5","100","57.75",48,12,-1,-1,1277,1275,1279,349,349,"Veränderte bzw. nicht/besonders wahrgenommene Zuständigkeit","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",6,"classic","BB6",1277,843,"classic","05.10.2022",2,"13.09.2022","25.08.2022","27.09.2022",2,1,"","","",346,400,169,254,"Grid43",5,5,4,3,FALSE,FALSE,NA,54,85,4590,278,139,373,211.5,5,3,"Grid35"
"6377",442,442,1975861,63,5,4,"50.5","12.25","60.5","35.25",80,20,-1,-1,1279,1277,1281,350,350,"neue, überzogene (An-)Forderungen der Nutzer/Partner","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",7,"classic","BB7",1279,843,"classic","05.10.2022",2,"13.09.2022","25.08.2022","27.09.2022",2,1,"","	- lange Projektdauer <br>- Wechsel wesentlicher Schlüsselpersonen","",202,242,259,351,"Grid45",3,4,5,4,FALSE,FALSE,NA,40,92,3680,264,132,222,305,3,4,"Grid43"
