"","ACC2SURV_ACCID","Quercheck","ANS2SURV_ID","ANS2SURV_DURATION","IMPACT","OCCURRENCE","X1PCT","Y1PCT","X2PCT","Y2PCT","PROZAHL","RPZ","GRAPHIO","GRAPHRPZ","QUES2SURV_ID","Q2SID_PREV","Q2SID_NEXT","QUES2SURV_QUESID","QUES_ID","QUES_TEXT","QUES_TYP","QUES2SURV_SURVID","SURV_NAME","QUES2SURV_SORT","QUES2SURV_METHOD","QUES2SURV_KBID","ANS2SURV_QUES2SURVID","ANS2SURV_ACC2SURVID","ANS2SURV_METHOD","MODIFIED","ACC2SURV_GROUPID","ACC2SURV_FIRSTSTEP_DATE","ACC2SURV_MAILFIRST","ACC2SURV_MAILSECOND","ACC2SURV_ROLE","ANS2SURV_ANSWERED","ANS2SURV_COMMENT","QUES_CAUSE","QUES_EFFECT","X1Pixel","X2Pixel","Y1Pixel","Y2Pixel","ClassicGrid","getlowx","gethighx","getlowy","gethighy","hitOcc","hitImp","QuestionGroup","uncertaintyIPixel","uncertaintyIPercent","uncertaintyOPixel","uncertaintyOPercent","uncertaintyAreaPixel","uncertaintyAreaPercent","uncertaintyPerimeterPixel","uncertaintyPerimeterPercent","uncertaintytotalPixel","uncertaintytotalPercent"
"5347",443,443,951785,13,2,1,"44.75","39.25","66.25","52",8,2,-1,-1,1281,1279,1283,351,351,"Falsche oder nicht ausgesprochene Erwartungen durch Nutzer, Partner, Anrainer","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",8,"classic","BB8",1281,844,"classic","27.09.2022",2,"06.09.2022","","20.09.2022",2,1,"","	- lange Projektdauer <br>- Wechsel wesentlicher Schlüsselpersonen","",179,265,157,208,NA,3,4,3,4,FALSE,FALSE,NA,86,21.5,51,12.75,4386,7017600,274,4384,137,1096
"5349",443,443,951861,8,2,2,"48.75","60.25","65.5","75.5",16,4,-1,-1,1283,1281,1285,352,352,"Überlastung des Projektteams","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",9,"classic","BB9",1283,844,"classic","27.09.2022",2,"06.09.2022","","20.09.2022",2,1,"","mehrere gleichzeitig laufende Projekte","Projektverzögerung",195,262,241,302,NA,3,4,2,2,FALSE,TRUE,NA,67,16.75,61,15.25,4087,6539200,256,4096,128,1024
"5351",443,443,951937,10,3,1,"49.75","57.75","63.25","72.5",12,3,-1,-1,1285,1283,1287,353,353,"mangelnde Unterstützung/Widerstand von Beteiligten und Betroffenen","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",10,"classic","BB10",1285,844,"classic","27.09.2022",2,"06.09.2022","","20.09.2022",2,1,"","","Projektverzögerung",199,253,231,290,NA,3,4,2,3,FALSE,TRUE,NA,54,13.5,59,14.75,3186,5097600,226,3616,113,904
"5353",443,443,952013,12,2,2,"63.75","68.5","81","77",16,4,-1,-1,1287,1285,1289,354,354,"langwierige Entscheidungsfindung","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",11,"classic","OR1",1287,844,"classic","27.09.2022",2,"06.09.2022","","20.09.2022",2,1,"","	- unklare Entscheidungs- und Freigabeprozesse <br>- unklare Zuständigkeiten <br>- keine klare Festlegung, Darstellung und Kommunikation des Projektaufbau und -ablauforganisations sowie der Entscheidungsmatrix <br>- Wechsel von Schlüsselpersonen","	- Projektverzögerung",255,324,274,308,NA,4,5,2,2,FALSE,TRUE,NA,69,17.25,34,8.5,2346,3753600,206,3296,103,824
"5355",443,443,952089,13,2,1,"68.5","79.25","83.25","90",8,2,-1,-1,1289,1287,1291,355,355,"unzureichende Kompetenz und Erfahrung des Projektleiter, Krankenhaushygienikers usw.","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",12,"classic","OR2",1289,844,"classic","27.09.2022",2,"06.09.2022","","20.09.2022",2,1,"","	- Projektleiter bzw. Hygieniker ist zu kurz im Unternehmen, um die Struktur und Handlungsweisen des Unternehmens zu verstehen","	- Projektverzögerung",274,333,317,360,NA,4,5,1,2,FALSE,TRUE,NA,59,14.75,43,10.75,2537,4059200,204,3264,102,816
"5357",443,443,952165,10,2,1,"48.5","39","66.75","48",8,2,-1,-1,1291,1289,1293,356,356,"keine Integration QMS und RMS","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",13,"classic","OR3",1291,844,"classic","27.09.2022",2,"06.09.2022","","20.09.2022",2,1,"","","",194,267,156,192,NA,3,4,3,4,FALSE,FALSE,NA,73,18.25,36,9,2628,4204800,218,3488,109,872
"5359",443,443,952241,39,2,2,"53","46","68.75","57.75",16,4,-1,-1,1293,1291,1295,357,357,"keine ausreichende Berücksichtigung/Koordination der vielen Beteiligten und/oder Schnittstellen","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",14,"classic","OR4",1293,844,"classic","27.09.2022",2,"06.09.2022","","20.09.2022",2,1,"","","",212,275,184,231,NA,3,4,3,3,FALSE,FALSE,NA,63,15.75,47,11.75,2961,4737600,220,3520,110,880
"5361",443,443,952317,18,2,3,"53","67.75","69.5","76",24,6,-1,-1,1295,1293,1297,358,358,"fehlende selbständige interne Koordination der Fachabteilung","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",15,"classic","OR5",1295,844,"classic","27.09.2022",2,"06.09.2022","","20.09.2022",2,1,"","	- kein Verständnis der übermittelten Information <br>- keine interne Kommunikation und Information in der Abteilung","Wissensdefizit <br>ineffiziente Arbeitssitzungen",212,278,271,304,NA,3,4,2,2,TRUE,TRUE,NA,66,16.5,33,8.25,2178,3484800,198,3168,99,792
"5363",443,443,952393,69,4,2,"42.25","47.75","60.25","56.5",32,8,-1,-1,1297,1295,1299,359,359,"Wechsel wesentlicher Schlüsselpersonen für die Umsetzung/Verantwortlicher im Projektteam (z. B. Projektleitung, Nutzer, Planer, Auftraggeber, Verantwortungsträger in einzelnen Bereichen z. B. Technik), Know-How-Träger stehen nicht zur Verfügung / Veränderung in den Entscheidungsstrukturen","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",16,"classic","OR6",1297,844,"classic","27.09.2022",2,"06.09.2022","","20.09.2022",2,1,"","	- keine rechtzeitige Nachfolgeregelung z. B. bei Pensionierungen <br>- fachliche Überforderung <br>- Neubesetzungen","	- mangelhafter Wissenstransfer <br>- Ressourcenlücken <br>- Verzögerungen bzw. Projekt kann nicht entsprechend denfinierten Projektzielen umgesetzt werden z. B. durch  Veränderungen in den Entscheidungsstrukturen",169,241,191,226,NA,3,4,3,3,FALSE,FALSE,NA,72,18,35,8.75,2520,4032000,214,3424,107,856
"5365",443,443,952469,10,3,1,"48.25","32.25","60.75","41.75",12,3,-1,-1,1299,1297,1301,360,360,"es besteht kein effizientes Änderungsmanagement","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",17,"classic","PA1",1299,844,"classic","27.09.2022",2,"06.09.2022","","20.09.2022",2,1,"","	- zu viele Entscheider","	- Verzögerung <br>- Mehrkosten",193,243,129,167,NA,3,4,3,4,FALSE,TRUE,NA,50,12.5,38,9.5,1900,3040000,176,2816,88,704
"5367",443,443,952545,17,3,1,"50.25","56.75","66.75","65.5",12,3,-1,-1,1301,1299,1303,361,361,"verzögerte Freigabe von Planungsschritten und Genehmigungschritten (PA1)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",18,"classic","PA2",1301,844,"classic","27.09.2022",2,"06.09.2022","","20.09.2022",2,1,"","	- fehlende Vorgaben Betriebsorganisation <br>- nicht geführte Diskussionen zu Fragen der Betriebsorganisation <br>- keine Klärung und Dokumentation der neuen Betriebsprozesse bzw. Patient:innenverantwortlichkeiten im neuen Behandlungsprozess","	- Verzögerung Gesamtprojektfortschritt <br>- fehlende Akzeptanz bei Nutzern",201,267,227,262,NA,3,4,2,3,FALSE,TRUE,NA,66,16.5,35,8.75,2310,3696000,202,3232,101,808
"5369",443,443,952621,15,4,1,"86.75","63.5","99.75","71.5",16,4,-1,-1,1303,1301,1305,362,362,"Raumplanung nicht am Betriebsbedarf ausgerichtet","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",19,"classic","PF1",1303,844,"classic","27.09.2022",2,"06.09.2022","","20.09.2022",2,1,"","zu wenig Räumlichkeiten (6 OP-Räume und 2 Eingriffsräume) bzw. Platz (z. B. Ambulanzzentrum) für 60.000 ambulante Patienten jährlich","	- Einschränkung der Betriebsabläufe (ineffektiv und ineffizient) <br>- Wartezeiten für Patient:innen <br>- reduzierte Patienten- und Mitarbeiter:innen-Zufriedenheit",347,399,254,286,NA,5,5,2,2,FALSE,FALSE,NA,52,13,32,8,1664,2662400,168,2688,84,672
"5371",443,443,952697,67,3,3,"72.5","41","80.5","53",36,9,-1,-1,1305,1303,1379,363,363,"Betriebsunterbrechungen bzw. -ausfälle länger als 1 Arbeitswoche (Weiterbestand/Sanierung des restlichen Gebäudes 161 (inkl. den Räumlichkeiten für 3 SPECT/CT, 1 PET/CT) - Eingangsbereich 161","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",20,"classic","PF2",1305,844,"classic","27.09.2022",2,"06.09.2022","","20.09.2022",2,1,"","	- Zwischenaussiedelung der Schilddrüsenambulanz zur Baufeldfeimachung <br>- zusätzliches Baufeld wird benötigt","	- Gefährdung der Patietnt:innen-Sicherheit (onkologisch) <br>- Nicht-Erfüllung des Versorgungsauftrages <br>- Mehrkosten  <br>- Mehrbedarf Personalressourcen <br>- länger Bauzeit <br>- keine Nachnutzung",290,322,164,212,NA,4,5,3,3,FALSE,TRUE,NA,32,8,48,12,1536,2457600,160,2560,80,640
"5373",443,443,952773,18,4,4,"79.5","23.75","88.25","38.75",64,16,-1,-1,1379,1305,1307,364,364,"Etablierung einer zentralen Leitstelle für die Schilddrüsenambulanz und die Nuklearmedizin","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",21,"classic","PF3",1379,844,"classic","27.09.2022",2,"06.09.2022","","20.09.2022",2,1,"","","	- effektive und effiziente Prozessgestaltung <br>- Ressourcenschonung <br>- gesteigerte Patienten- und Mitarbeiter:innen-Zufriedenheit",318,353,95,155,NA,4,5,4,4,TRUE,TRUE,NA,35,8.75,60,15,2100,3360000,190,3040,95,760
"5375",443,443,952849,23,2,3,"27","43.25","39.5","53.5",24,6,-1,-1,1307,1379,1381,365,365,"Schulungs- und Einführungsaufwand","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",22,"classic","PF4",1307,844,"classic","27.09.2022",2,"06.09.2022","","20.09.2022",2,1,"","	- neuartige Technologien <br>- Verfahren <br>- Prozesse <br>- Materialien","	- Personalmehraufwand",108,158,173,214,NA,2,2,3,3,FALSE,FALSE,NA,50,12.5,41,10.25,2050,3280000,182,2912,91,728
"5377",443,443,952925,23,3,3,"49.25","74.25","60.5","85.5",36,9,-1,-1,1381,1307,1397,366,366,"Harmonisierung unterschiedlicher Standards und Umsetzungsgrade in prozessübergreifenden Managementsystemen (z. B.  Qualitäts- und Risikomanagement, ISMS, Compliance) und anderen Systemen","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",23,"classic","PF5",1381,844,"classic","27.09.2022",2,"06.09.2022","","20.09.2022",2,1,"","","",197,242,297,342,NA,3,4,1,2,TRUE,FALSE,NA,45,11.25,45,11.25,2025,3240000,180,2880,90,720
"5379",443,443,953001,10,5,4,"83","22.5","95.5","36.75",80,20,-1,-1,1397,1381,1331,297,297,"Baufeldfreimachung für zukünftige Projekte","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",24,"classic","PF6",1397,844,"classic","27.09.2022",2,"06.09.2022","","20.09.2022",2,1,"","HNO, 1. Med.","",332,382,90,147,NA,5,5,4,4,FALSE,FALSE,NA,50,12.5,57,14.25,2850,4560000,214,3424,107,856
"5381",443,443,953077,11,4,1,"83.25","70.5","96.75","82.25",16,4,-1,-1,1331,1397,1309,298,298,"Gefährdung bestehender Zertifizierungen (ISO, Onko-Zentrum, UEMS, EMAS)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",25,"classic","PF7",1331,844,"classic","27.09.2022",2,"06.09.2022","","20.09.2022",2,1,"","","",333,387,282,329,NA,5,5,1,2,FALSE,FALSE,NA,54,13.5,47,11.75,2538,4060800,202,3232,101,808
"5383",443,443,953153,10,4,2,"87.75","72.25","100","85.5",32,8,-1,-1,1309,1331,1311,281,281,"zusätzlicher Betrieb leer stehender Gebäude","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",26,"classic","PF8",1309,844,"classic","27.09.2022",2,"06.09.2022","","20.09.2022",2,1,"","	- kein Abriss","	- Mehrkosten",351,400,289,342,NA,5,5,1,2,FALSE,FALSE,NA,49,12.25,53,13.25,2597,4155200,204,3264,102,816
"5385",443,443,953229,17,3,1,"54.25","51.25","66.25","62",12,3,-1,-1,1311,1309,1313,282,282,"keine Berücksichtigung der Veränderung der medizinischen Standards von der Planung bis zur Fertigstellung (ca. 6 Jahre)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",27,"classic","PF9",1311,844,"classic","27.09.2022",2,"06.09.2022","","20.09.2022",2,1,"","medizinische Weiterentwicklung und Innovationen in der Zukunft können nicht berücksichtigt werden","",217,265,205,248,NA,3,4,2,3,FALSE,TRUE,NA,48,12,43,10.75,2064,3302400,182,2912,91,728
"5387",443,443,953305,11,3,1,"72","73.75","80.75","83.5",12,3,-1,-1,1313,1311,1315,283,283,"keine ausreichende Berücksichtigung von Kapazitäten, Zeit, Kosten in der Planung der Übersiedelung während der Bauphase","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",28,"classic","PF10",1313,844,"classic","27.09.2022",2,"06.09.2022","","20.09.2022",2,1,"","","	- Projektkosten können nicht eingehalten werden / werden wesentlich überschritten <br>- verzögerte Inbetriebnahme",288,323,295,334,NA,4,5,1,2,FALSE,FALSE,NA,35,8.75,39,9.75,1365,2184000,148,2368,74,592
"5389",443,443,953381,69,3,1,"66","72","75.25","81.25",12,3,-1,-1,1315,1313,1317,284,284,"keine ausreichende Berücksichtigung der Schnittstellen zwischen Projekt und laufendem Betrieb (technisch)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",29,"classic","PF11",1315,844,"classic","27.09.2022",2,"06.09.2022","","20.09.2022",2,1,"","	- keine ausreichenden technischen Gegebenheiten und Kapazitäten (Energie, Wasser, Klima, Gas, HT usw.)","	- Schnittstellenprobleme <br>- Mehrkosten",264,301,288,325,NA,4,4,1,2,FALSE,FALSE,NA,37,9.25,37,9.25,1369,2190400,148,2368,74,592
"5391",443,443,953457,10,3,3,"67.25","55.75","79.75","68",36,9,-1,-1,1317,1315,1319,285,285,"negative Auswirkung und Beeinflussung des angrenzenden (laufenden) Betriebs","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",30,"classic","PF12",1317,844,"classic","27.09.2022",2,"06.09.2022","","20.09.2022",2,1,"","	- Nähe zum Baufeld (Erschütterungen, Lärm, Staub) <br>- keine adäquate Baufeldabgrenzung","	- Einschränkgung im Bereich (z. B. Nukl.Med., Notfallaufnahmen, Zufahrt) <br>- klinische Abläufe <br>- Patient:innen- und Mitarbeiter:innensicherheit und -zufriedenheit <br>- Gerätesicherheit <br>- Hygiene <br>- Logistik <br>- Brandschutz uvm.",269,319,223,272,NA,4,5,2,3,FALSE,TRUE,NA,50,12.5,49,12.25,2450,3920000,198,3168,99,792
"5393",443,443,953533,10,2,3,"43.5","46.75","53.25","54.25",24,6,-1,-1,1319,1317,1383,286,286,"Neu-Bewilligungen werden notwendig","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",31,"classic","PF13",1319,844,"classic","27.09.2022",2,"06.09.2022","","20.09.2022",2,1,"","	- Abrisse","hohe Anforderungen mach Schließungen von Gebäuden notwendig",174,213,187,217,NA,3,3,3,3,TRUE,FALSE,NA,39,9.75,30,7.5,1170,1872000,138,2208,69,552
"5395",443,443,953609,22,4,4,"86.75","22.75","95.25","33.75",64,16,-1,-1,1383,1319,1385,287,287,"Adaptierung/Modernisierung der räumlichen Strukturen an die Anforderungen des Versorgungsauftrags sowie an die Anforderungen der betroffenen Primär- und Sekundärversorgungsbereiche","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",32,"classic","PF14",1383,844,"classic","27.09.2022",2,"06.09.2022","","20.09.2022",2,1,"","	- demographische Entwicklung <br>Allgemein: <br>- infrastrukturelle Veränderung <br>- personalstrukturelle Veränderung <br>- abrechnungstechnische Veränderung <br>- beschaffungsspezifische Veränderung <br>- besserer Patient:innenkomfort im stationären (Betten-)Bereich <br>- bessere Anbindung an das CMZ (kürzere Patiet:innenwege <br>- bessere Umsetzung von Schallschutzmaßnahmen (Audiometrie) <br>","	- Berücksichtigung zukünftiger Versorungsbedarfe  <br>- Erhöhung der Versorgungsqualität (Reduktion der Wartezeiten) <br>- Stärkung des medizinischen Standards der Fachbereiche <br>- Effektivere und effizientere Gestaltung der Arbeitsabläufe bzw. des klinischen Alltags (z. B. Einführung einer zentralen Leitstelle / elektronische Unterstützung, Einführung neuer Berufsgruppen z. B. MOA, OA) <br>- kürzere Wege <br>- Verbesserung der Patienten- und Mitarbeiter:innen-Zufriedenheit ==> Imageverbesserung <br>- fachübergreifende Vernetzung der Fächer des Kopfzentrums <br>- Beibehaltung bzw. Erhöhung der Felxibilität des med. Personals => Schonung der Personalressource <br>- kein Bedarf des Transports radioaktiver Tracer <br>- Verbesserung der interdisziplinären Zusammenarbeit der Fachbereiche <br>- Nutzung von Synergien durch die Zusammenführung einzelner bisher autarker Fachbereiche <br>- Verschiebung von Marktanteilen",347,381,91,135,NA,5,5,4,4,FALSE,TRUE,NA,34,8.5,44,11,1496,2393600,156,2496,78,624
"5397",443,443,953685,42,4,4,"67.5","48","79.5","55.25",64,16,-1,-1,1385,1383,1321,288,288,"nachhaltige Interimslösung der Räumlichkeiten zur Nachnutzung als Ausweichstation","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",33,"classic","PF15",1385,844,"classic","27.09.2022",2,"06.09.2022","","20.09.2022",2,1,"","","",270,318,192,221,NA,4,4,3,3,TRUE,FALSE,NA,48,12,29,7.25,1392,2227200,154,2464,77,616
"5399",443,443,953761,38,3,1,"73.5","85.5","88.25","94",12,3,-1,-1,1321,1385,1387,289,289,"keine Kompatibilität der Projektziele mit dem Versorgungsauftrag  (z. B. Betriebsziele, politische Ziele, Umsetzung ÖSG-RSG usw.)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",34,"classic","PU1",1321,844,"classic","27.09.2022",2,"06.09.2022","","20.09.2022",2,1,"","	- Vorgaben des RSG NEU (2025) sehen wesentliche Änderungen zu dem im Projektumfang definierten Struktur- und Leistungsspektrum (Basis RSG 2020) vor (RSG 2030 könnte die Projektgrundlagen nochmals verändern ==> Stichwort: Auslagerung in die extramurale Versorgung) <br>- Unkenntnis über die Möglichkeit der Einsetzbarkeit des Faches PMR <br>- Projektnutzen ist zu wenig klar bestimmt => und vom Nutzer daher nicht erkennbar <br>","	- Nicht-Erfüllung des gesetzlich definierten Versorgungsauftrags <br>- keine Projektumsetzung",294,353,342,376,NA,4,5,1,1,FALSE,FALSE,NA,59,14.75,34,8.5,2006,3209600,186,2976,93,744
"5401",443,443,953837,14,4,5,"45","14.25","58.75","23.25",80,20,-1,-1,1387,1321,1389,290,290,"Einhaltung sicherheits- und gesundheitspolitischer Auflagen und Einschränkungen (ÖSG-RSG)","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",35,"classic","PU2",1387,844,"classic","27.09.2022",2,"06.09.2022","","20.09.2022",2,1,"","","",180,235,57,93,NA,3,3,4,5,FALSE,TRUE,NA,55,13.75,36,9,1980,3168000,182,2912,91,728
"5403",443,443,953913,17,5,4,"82.75","50.75","94.25","60.75",80,20,-1,-1,1389,1387,1391,291,291,"Verbesserung der Positionierung am Arbeitsmarkt","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",36,"classic","PU3",1389,844,"classic","27.09.2022",2,"06.09.2022","","20.09.2022",2,1,"","z. B. moderne Strukturen und Arbeitsabläufe","	- gesteigertes Interesse bei DGKP, PA, RT, BMA",331,377,203,243,NA,5,5,2,3,FALSE,FALSE,NA,46,11.5,40,10,1840,2944000,172,2752,86,688
"5405",443,443,953989,8,4,4,"88","54","96","64.75",64,16,-1,-1,1391,1389,1393,292,292,"Verbesserung der interdisziplinären Zusammenarbeit","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",37,"classic","PU4",1391,844,"classic","27.09.2022",2,"06.09.2022","","20.09.2022",2,1,"","räumliche und organisatorische Zusammenführung","Verbesserung der Versorgungsqualität",352,384,216,259,NA,5,5,2,3,FALSE,FALSE,NA,32,8,43,10.75,1376,2201600,150,2400,75,600
"5407",443,443,954065,26,3,3,"42.75","60","54.75","67.75",36,9,-1,-1,1393,1391,1395,293,293,"Integration der Pädaudiometrie in die HNO bzw. Kopfzentrum","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",38,"classic","PU5",1393,844,"classic","27.09.2022",2,"06.09.2022","","20.09.2022",2,1,"","","	- Verbesserung der intramuralen Versorgung für Kinder;  <br>- zeitökonomisches Arbeiten möglich (dzt. Lange Wartezeiten für den Pat./weite Wege im Klinikum, direkte Kommunikation zw. Arzt und Logopädie derzeit nur eingeschränkt gegeben)",171,219,240,271,NA,3,3,2,2,TRUE,FALSE,NA,48,12,31,7.75,1488,2380800,158,2528,79,632
"5409",443,443,954141,21,5,5,"79.75","19.75","90","30",100,25,-1,-1,1395,1393,1323,294,294,"Neubau","Chance",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",39,"classic","PU6",1395,844,"classic","27.09.2022",2,"06.09.2022","","20.09.2022",2,1,"","","sprunghafte Strukturqualitätssteigerung, Minimierung der Betriebsausfälle",319,360,79,120,NA,5,5,4,4,TRUE,FALSE,NA,41,10.25,41,10.25,1681,2689600,164,2624,82,656
"5411",443,443,954217,10,2,3,"54.5","27.5","62.25","39.75",24,6,-1,-1,1323,1395,1325,295,295,"Projektfortschritt bzw. -laufzeiten können nicht eingehalten werden","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",40,"classic","PU7",1323,844,"classic","27.09.2022",2,"06.09.2022","","20.09.2022",2,1,"","	- Abwicklung der behördlichen Verfahren nicht terminkonform <br>- keine Berücksichtigung ausreichender Vorlaufzeiten für Behördenverfahren (eingeschränkte Personalkapazitäten)/notwendige Gutachten in der Projektterminplanung  <br>- zweistufige Genehmigungsverfahren für Tätigkeiten mit offenen radioaktiven Stoffen (lt. Strahlenschutzgesetz) <br>- sonstige behördliche Aktivitäten <br>- politische Einflussfaktoren => neue Priorisierung von Projekten <br>- Divergierende Ziele unterschiedlicher Vorhabenspartner (z. B. Nutzer, Anrainer, Bauherr) <br>- Unkenntnis des gesamten Projektkontext => keine Kenntnis und systematische Steuerung aller Chancen und Risiken/Stärken und Schwächen für die Projektplanung und -umsetzung  <br>- etwaige Auflagen aus diversen notwendigen Gutachten bzw. von Behörden müssen umgesetzt werden","	- zusätzliche Kosten   <br>- Verzögerung der Inbetriebnahme <br>- Versorgungsengpässe bei Betriebsausfällen in den Altstrukturen <br>- zeitliche Verzögerung <br>- Verlängerung Risiko HNO (TOP Unternehmensrisiko)",218,249,110,159,NA,3,4,3,4,TRUE,FALSE,NA,31,7.75,49,12.25,1519,2430400,160,2560,80,640
"5413",443,443,954293,15,3,2,"53","62.25","65.75","70.75",24,6,-1,-1,1325,1323,1327,296,296,"keine Synchronisierung mit dem Masterplan 2030","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",41,"classic","PU8",1325,844,"classic","27.09.2022",2,"06.09.2022","","20.09.2022",2,1,"","	- Masterplan ist nicht fertig gestellt (Genehmigung durch AR notwendig?) <br>- Projektpriorisierung  ist nicht eindeutig ==> keine ausreichende Abstimmung der Planungen des Projekts Kopfzentrum mit anderen leistungsbedingten Einflussbereichen wie z. B.  onkologisches Zentrum, ELKI (akute und ambulante Behandlung von Kindern)","'- Standortstrategie nicht einhaltbar <br>- Terminkollisionen",212,263,249,283,NA,3,4,2,2,FALSE,FALSE,NA,51,12.75,34,8.5,1734,2774400,170,2720,85,680
"5415",443,443,954369,25,3,1,"72.75","69.75","84.25","79.25",12,3,-1,-1,1327,1325,1329,320,320,"keine Genehmigung ausreichender finanzieller Mittel","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",42,"classic","PU9",1327,844,"classic","27.09.2022",2,"06.09.2022","","20.09.2022",2,1,"","	- gedeckeltes Landesbudget <br>- Projektunschärfe im Budget nicht abdeckbar <br>- im Laufe des Projekts entstehende Mehrkosten (siehe auch diverse angeführte Risiken)","	- keine bzw. nur eingeschränkte Umsetzung des Projekts <br>- Mehrkosten",291,337,279,317,NA,4,5,2,2,FALSE,FALSE,NA,46,11.5,38,9.5,1748,2796800,168,2688,84,672
"5417",443,443,954445,17,2,2,"50.75","79.75","64","87.75",16,4,-1,-1,1329,1327,1333,321,321,"Terminkollisionen","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",43,"classic","PU10",1329,844,"classic","27.09.2022",2,"06.09.2022","","20.09.2022",2,1,"","	- mehrere gleichzeitig laufende Projekte (AUVA CHO) <br>- gleiches Baufeld mit etwaigen Projekt AUVA CHO","	- Projektverzögerung <br>- gleichzeitiger Zugriff auf Firmen <br>- Einschränkung der Zufahrtbereiche",203,256,319,351,NA,3,4,1,1,FALSE,FALSE,NA,53,13.25,32,8,1696,2713600,170,2720,85,680
"5419",443,443,954521,21,2,1,"41.25","72","52.25","77.5",8,2,-1,-1,1333,1329,1335,299,299,"keine Identifikation der Schlüsselpositionen mit dem Projekt und den damit in Verbindung stehenden Zielen","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",44,"classic","PV1",1333,844,"classic","27.09.2022",2,"06.09.2022","","20.09.2022",2,1,"","	- Projektnutzen ist zu wenig klar bestimmt => und vom Nutzer daher nicht erkennbar <br>- RSG Vorgaben nicht bekannt","Projektverzögerung",165,209,288,310,NA,3,3,2,2,FALSE,TRUE,NA,44,11,22,5.5,968,1548800,132,2112,66,528
"5421",443,443,954597,12,3,1,"57.5","80.25","68.75","88",12,3,-1,-1,1335,1333,1337,300,300,"Planungsfehler (z. B. Vorhabensbudget, Investitionsprogramm, Betriebsbudget, Folgekosten usw.)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",45,"classic","PV2",1335,844,"classic","27.09.2022",2,"06.09.2022","","20.09.2022",2,1,"","	- BO und Raum- und Funktionsplan nicht detailliert <br>- keine eindeutige Projektabgrenzung zu anderen Projekten bzw. Instandhaltung","	- Mehrkosten <br>- Verzögerung <br>",230,275,321,352,NA,3,4,1,1,FALSE,FALSE,NA,45,11.25,31,7.75,1395,2232000,152,2432,76,608
"5423",443,443,954673,166,3,2,"47","65.5","57","75",24,6,-1,-1,1337,1335,1339,301,301,"keine Kompatibilität der Projektziele mit den Abteilungszielen/Nutzer","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",46,"classic","PV3",1337,844,"classic","27.09.2022",2,"06.09.2022","","20.09.2022",2,1,"","	- Auffassungsunterschiede/Interessen zw. Projektbeteiligten KM und Klinikum aufgrund unterschiedlicher Prioritäten <br>- keine Akzeptanz der Projektvorgaben durch die Nutzer","Behinderung der Projektabwicklung",188,228,262,300,NA,3,3,2,2,FALSE,FALSE,NA,40,10,38,9.5,1520,2432000,156,2496,78,624
